DEMOGRAPHICS,,,,,,,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,WHAT INFLUENCED YOUR DECISION TO PURCHASE TIC TAC MINI PACKS?,,,,,,,,,WHERE DID YOU FIND THE PRODUCT? ,,WHERE DID YOU EXPECT TO FIND THE PRODUCT? ,,,WHICH BRAND OF CANDY/MINTS DO YOU TYPICALLy PURCHASE?  ,,,,,
Survey Respondent,Gender,Age Tier,Flavor Purchased, Did you purchase and try Tic Tac Mini Packs,When do you plan on trying the product?  ,"After trying the product, what did you like the most? ","After trying the product, what did you like the least?",What did you think of the flavor you redeemed? ,When was the last time you purchased a Tic Tac?  ,Tastes great,Easy to share,The unique flavors,It’s the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,I like Tic Tac and wanted to try Tic Tac Mini Packs,"I wanted to try the flavors offered (Freshmint, Tropical Mix)",Tic Tac Mini Packs was more appealing than the candy/mints I usually buy,Tic Tac Mini Packs provided more value than the other candy/mints I usually buy,I like the convenience of the multi-serve packaging ,The Ibotta Rebate,"Other, please specify...","Other, please specify... [text",Were you able to easily find Tic Tac Mini Packs? ,Where did you find the product? ,Where did you find the product?  [other],Where did you expect to find the product? ,Where did you expect to find the product?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase?  ,Which brand of candy/mints do you typically purchase?   [other],Would you consider yourself loyal to that brand? ,How likely are you to repurchase Tic Tac Mini Packs the next time you buy candy/mints? ,"In the future, how often would you purchase Tic Tac Mini Packs? ",Why would you likely not repurchase Tic Tac Mini Packs? 
Respondent 332,F,45-54,Tropical Mix,Yes,,What I liked most about the tic tac packs is that there is different flavors so you don't get bored with eating just the same kind,I didn't have any least thoughts about them at all they are all good,Extremely Liked ,Four to seven days ago,1,1,1,,,,1,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 333,F,55-64,Multiple Flavors,Yes,,Convenience,Make larger packages,Extremely Liked ,Four to seven days ago,1,1,,1,1,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 334,F,35-44,Fresh Mint,Yes,,small individual packs,flavors,Slightly Liked,Four to seven days ago,,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 335,F,45-54,Tropical Mix,Yes,,I liked the small packs because they were easy to throw in my purse or bag or a quick snack,The mango flavor---nasty!!,Extremely Liked ,Rarely or Never,,1,,1,1,,,,,,,,1,,,"Yes, I found it immediately ",With the chips and other snacks,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 336,F,35-44,Multiple Flavors,Yes,,taste,n/a,Extremely Liked ,Four to seven days ago,1,1,1,,,,,,,,1,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 337,F,25-34,Tropical Mix,Yes,,They are easy to carry in your purse or bag,There are only 5 in each pack,Moderately Liked  ,Yesterday,1,1,,,,,,,,,,1,1,1,Easy to take along on vacation,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 338,F,55-64,Fresh Mint,Yes,,convenient size packets,I think they are perfect,Extremely Liked ,In the last month,1,,,1,,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 339,F,35-44,Multiple Flavors,Yes,,"Really good flavor, convenient",Nothing,Moderately Liked  ,In the last month,1,1,1,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 340,F,35-44,Tropical Mix,Yes,,I liked the small individual packs,Overall I thought it was a great product,Moderately Liked  ,In the last month,,1,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 341,M,25-34,Tropical Mix,Yes,,The mini packs,Chewiness,Moderately Liked  ,In the last month,,1,,1,1,,,,,1,1,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 342,M,35-44,Fresh Mint,Yes,,Separate packs were nice.,"Spearmint,  wish they had more flavors. ",Slightly Liked,Two or three days ago,1,,,,,,,1,,,,1,,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 343,F,65+,Fresh Mint,Yes,,That I can keep the anywhere ,How few there are in a package,Moderately Liked  ,Two or three days ago,1,1,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 344,F,45-54,Tropical Mix,Yes,,Individual portion,Packaging,Extremely Liked ,Longer than a month ago,,1,,,,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 345,F,45-54,Multiple Flavors,Yes,,I liked that they were packaged in groups of 4. They were perfect for our office party.,The bag was not big enough.  It could have been a larger size~!,Extremely Liked ,Longer than a month ago,1,1,1,1,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 346,F,25-34,Multiple Flavors,Yes,,Flavor,I liked evrrything,Extremely Liked ,Longer than a month ago,1,1,1,,1,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 347,F,55-64,Fresh Mint,Yes,,The individual serving portion. The canister would often open in my purse and spill the mints.,"If there is additional cost, I guess that would be it. I haven't investigated to see if the cost is more when purchasing in this form",Extremely Liked ,In the last month,1,1,,1,1,,,,,,,1,1,1,I didn't realize that they came in this form until I got the Ibotta rebate selection,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 348,F,65+,Fresh Mint,Yes,,Flavor,Size,Extremely Liked ,Yesterday,1,1,1,,1,,,1,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 349,F,55-64,Tropical Mix,Yes,,convenience of individual packs and variety of flavors in 1 bag,nothing,Extremely Liked ,In the last month,1,1,1,1,1,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 350,F,45-54,Multiple Flavors,Yes,,Very good!,N/A,Extremely Liked ,Longer than a month ago,1,,,,,,,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 351,F,25-34,Multiple Flavors,Yes,,They're easy to take along with me,The waste involved in the packaging,Extremely Liked ,Longer than a month ago,1,1,,1,1,,1,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 352,F,35-44,Multiple Flavors,Yes,,convience. single servings,nothing,Extremely Liked ,Four to seven days ago,1,1,1,,1,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 353,F,25-34,Fresh Mint,Yes,,Amount ,Portability ,Extremely Liked ,Two or three days ago,1,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 354,F,55-64,Multiple Flavors,Yes,,Convenience ,Nothing ,Extremely Liked ,Four to seven days ago,,,,,1,,,,1,,,1,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 355,F,45-54,Fresh Mint,Yes,,The flavors,"Nothing,they were great",Extremely Liked ,Four to seven days ago,,1,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 356,M,35-44,Tropical Mix,Yes,,Small package size; easy to store,Not too easy to open packets,Extremely Liked ,In the last month,1,1,,1,,,1,1,1,1,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 357,F,45-54,Fresh Mint,Yes,,Individual packets. I could put them on my desk at work to share,I liked them. I don't usually purchase them but will now in these little packs ,Extremely Liked ,Rarely or Never,,1,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 358,M,45-54,Fresh Mint,Yes,,Fresh feeling,Nothing,Extremely Liked ,Rarely or Never,1,1,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 359,F,55-64,Fresh Mint,Yes,,compact size,nothing!!!,Extremely Liked ,In the last month,1,1,1,1,1,1,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 360,F,45-54,Tropical Mix,Yes,,Fruity flavor,I like the fruity minty taste,Extremely Liked ,Today,1,1,1,1,1,1,1,,,1,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 361,F,55-64,Multiple Flavors,Yes,,Individual packaging I can slip them in my pocket,The price,Extremely Liked ,Four to seven days ago,1,1,1,,,,1,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 362,F,25-34,Multiple Flavors,Yes,,How they were wrapped to share and portions.,Some of the flavors. ie Mango,Moderately Liked  ,Four to seven days ago,1,1,1,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 363,F,45-54,Multiple Flavors,Yes,,the flavor,??,Neither Liked nor Disliked,In the last month,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 364,F,25-34,Tropical Mix,Yes,,Variety of flavors,Nothing,Moderately Liked  ,Four to seven days ago,1,1,1,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 365,F,15-24,Fresh Mint,Yes,,The convenience and how small they are ,The lack of flavor choices,Slightly Liked,In the last month,1,,1,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 366,F,25-34,Tropical Mix,Yes,,That the tiny packs were perfect for packing in with my lunches and even the children's lunches! ,I was over all very please with the product there wasnt anything I didnt like.,Extremely Liked ,Two or three days ago,,1,,,,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 367,M,35-44,Fresh Mint,Yes,,the convenience the small pack of four made,one more wrapper to throw away,Moderately Liked  ,In the last month,1,,,,,,,1,,1,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Starburst,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 368,F,45-54,Fresh Mint,Yes,,The individual little packsomething are very convenient to put in a pocket and go.,I didn't dislike anything about this product.,Moderately Liked  ,Two or three days ago,,1,1,,1,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 369,F,35-44,Fresh Mint,Yes,,convenience,better carry pack for purse,Extremely Liked ,Rarely or Never,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 370,F,25-34,Fresh Mint,Yes,,Individual size,Nothing,Moderately Liked  ,Two or three days ago,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 371,F,35-44,Fresh Mint,Yes,,flavor is powering for such a small mint. ,i do wish they would soften more after you suck on them. ,Extremely Liked ,In the last month,1,,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 372,F,35-44,Multiple Flavors,Yes,,The Flavors of the tropical,"Suprisingly, A couple flavors did give me instant heartburn for some reason",Extremely Liked ,Rarely or Never,1,,1,,1,,,,,,1,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 373,F,25-34,Fresh Mint,Yes,,The ease of carrying in my purse or pocket for when I needed ,It's not very long lasting,Moderately Liked  ,Two or three days ago,,1,,,,1,1,,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 374,F,45-54,Multiple Flavors,Yes,,The flavor,Nothing ,Extremely Liked ,Two or three days ago,1,,,,,,,1,1,,,1,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 375,0,35-44,Tropical Mix,Yes,,Flavor and convenience of mini packs,Nothing,Moderately Liked  ,In the last month,1,1,,,1,,,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 376,F,55-64,Tropical Mix,Yes,,The flavor,There was nothing I didn't like. My grandkids liked the little bags,Extremely Liked ,In the last month,1,1,,,,,,1,,,,1,1,1,Also to try something new,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month or less,
Respondent 377,F,35-44,Multiple Flavors,Yes,,How convenient the little mini pack were.,Nothing!,Extremely Liked ,In the last month,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 378,F,55-64,Multiple Flavors,Yes,,Flavors,Tiny packs size,Extremely Liked ,Two or three days ago,1,1,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 379,F,55-64,Multiple Flavors,Yes,,Packaging made it easy to just put one or two in your pocket or purse.,I tried both types. I won't purchase the fruit flavor again. Mango was unpleasant. ,Extremely Liked ,Rarely or Never,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 380,F,35-44,Multiple Flavors,Yes,,The tiny packs were just the right portion,Nothing . I liked it all,Extremely Liked ,In the last month,1,1,1,,1,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 381,M,45-54,Multiple Flavors,Yes,,The fact they're small packets,Some of the tropical flavors.,Moderately Liked  ,Longer than a month ago,1,,,,,1,1,,,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 382,F,35-44,Multiple Flavors,Yes,,The flavor and mini pack size,Fresh mint is not favorite flavor,Moderately Liked  ,Two or three days ago,1,1,1,1,1,,,1,1,1,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 383,F,35-44,Fresh Mint,Yes,,the flavor and the handy dandy resealable packaging,that it ran out,Extremely Liked ,Four to seven days ago,1,1,1,1,1,1,,1,1,,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 384,M,35-44,Tropical Mix,Yes,,Taste,Nothing,Moderately Liked  ,Four to seven days ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 385,F,45-54,Tropical Mix,Yes,,Individual packing..for sharing ,Nothing..they are amazing,Extremely Liked ,In the last month,,,,,,1,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 386,F,25-34,Fresh Mint,Yes,,Convenience of the individual packs,There was nothing I didn't like.,Extremely Liked ,Rarely or Never,1,1,,,1,,,,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 387,F,55-64,Fresh Mint,Yes,,The convenience of the size of the individual little pack size.,I wish the bag had a reclosable seal,Extremely Liked ,Four to seven days ago,1,,,1,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 388,F,55-64,Multiple Flavors,Yes,,They were convent to take with you. Easy to put in lunch bags or purse.,Nothing liked it,Extremely Liked ,In the last month,1,1,1,,,,,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 389,F,25-34,Multiple Flavors,Yes,,The convenience of single serve packs,Nothing,Extremely Liked ,Rarely or Never,,1,,,,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I’m not loyal to any brands ",Definitely would ,Once a Week,
Respondent 390,F,35-44,Fresh Mint,Yes,,Good to give the kids,Not really anything,Moderately Liked  ,Four to seven days ago,,,,,1,,,,,,,1,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 391,F,55-64,Fresh Mint,Yes,,The sharing with people ,Nothing ,Extremely Liked ,Two or three days ago,,,1,1,1,,,,1,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 392,M,65+,Fresh Mint,Yes,,Fresh taste!,Calories,Moderately Liked  ,Longer than a month ago,,1,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month or less,
Respondent 393,F,35-44,Fresh Mint,Yes,,So easy to put in your pocket,Nothing,Extremely Liked ,In the last month,1,1,1,1,,,,,,,,,,1,I wanted to use them for my chemo care bags,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 394,F,25-34,Fresh Mint,Yes,,I like the individual packets,No complaints. ,Extremely Liked ,In the last month,1,1,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 395,F,25-34,Multiple Flavors,Yes,,Less packaging,Cost,Extremely Liked ,Longer than a month ago,,,1,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 396,F,45-54,Fresh Mint,Yes,,Everything,Nothing,Moderately Liked  ,In the last month,1,1,1,1,1,,,1,1,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 397,F,25-34,Fresh Mint,Yes,,That they are tictacs and taste good,Unneeded packaging. Lots of waste,Extremely Liked ,Longer than a month ago,1,,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",Definitely would not ,,Too much trash
Respondent 398,F,35-44,Fresh Mint,Yes,,"Convienent serving size packs, appears to be gluten free ( our son has Celiac disease) I think they should add a ""gluten free"" designation to the package if it is, they are a nice little thing to distract my kids at appointments and they sit still because they think the mints taste great!",Could be easier to open with a small notch in the wrapper edge,Extremely Liked ,Longer than a month ago,1,1,1,,1,,1,1,,1,,,1,1,Seems to be gluten free by reading the package ( my son has Celiac disease and gluten free choices are important to our family),"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 399,F,15-24,Multiple Flavors,Yes,,I can eat more tic tacs,Size,Moderately Liked  ,Four to seven days ago,1,1,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 400,F,15-24,Fresh Mint,Yes,,The small packages. ,Nothing,Extremely Liked ,In the last month,1,1,,1,1,,1,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 401,F,25-34,Fresh Mint,Yes,,That they come in little packs and I was able to put them in my purse,That the bags are somewhat difficult to open,Extremely Liked ,Four to seven days ago,1,,,,,,,,,,,,1,,,"No, I had to go to more than one store to find it",,,In the checkout lane with the other mints,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 402,F,35-44,Fresh Mint,Yes,,The individually wrapped packs making it sanitary and easy to carry,Nothing,Extremely Liked ,Four to seven days ago,,1,,,,,,,,,,1,,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Multipack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 403,F,25-34,Fresh Mint,Yes,,Small packaging ,A lot of trash ,Extremely Liked ,Four to seven days ago,1,,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 404,F,65+,Fresh Mint,Yes,,Like single packages ,Nothing,Extremely Liked ,Longer than a month ago,1,,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 405,F,25-34,Fresh Mint,Yes,,The individual packs ,Difficult to open ,Moderately Liked  ,Longer than a month ago,,,,,1,,,,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 406,F,45-54,Fresh Mint,Yes,,The fact they are in small packs,I liked them completely ,Extremely Liked ,In the last month,1,1,1,1,1,1,1,1,1,1,,1,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 407,F,25-34,Fresh Mint,Yes,,The convenience of having just a few in a packet,All of the waste,Extremely Liked ,Longer than a month ago,,,,1,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 408,F,25-34,Tropical Mix,Yes,,the cute packaging,the melon flavored tic tacs,Moderately Liked  ,Longer than a month ago,1,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 409,F,35-44,Fresh Mint,Yes,,the taste and the size package,nothing,Extremely Liked ,Two or three days ago,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 410,F,25-34,Fresh Mint,Yes,,The size-  easy to throw in bags,Need to offer more flavors,Moderately Liked  ,In the last month,1,1,,1,,,,,,,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 411,F,35-44,Tropical Mix,Yes,,Flavor,Nothing,Extremely Liked ,Rarely or Never,1,1,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 412,F,35-44,Multiple Flavors,Yes,,The size of the package,Hard to find at the store,Extremely Liked ,Longer than a month ago,1,1,,,1,,,,,,,,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 413,F,45-54,Fresh Mint,Yes,,I like the small package that fits in my pocket while I am working.  Easy to get to when I want one without the bulk of the larger package !,The small size package,Extremely Liked ,Yesterday,1,,,,1,,,1,,,,1,1,1,My dogs love to have a tic tac at bedtime!,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Breath Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
