DEMOGRAPHICS,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,,,,,WHICH FLAVOR(S) DIDN'T APPEAL TO YOU? (SELECT ALL THAT APPLY),,,,,,,,,,,,,,,,,,
Survey Respondent,Gender,Age Tier, Did you unlock the Tic Tac Mini Packs rebate in the Ibotta app?,Easy to share with friends and family,Easy to share around the office with co-workers,It's the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,When was the last time you tried a Tic Tac? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing?  [other],Where did you expect to find the product?,Where did you expect to find the product? [other],Melon,Strawberry,Orange,Mango,Freshmint,Did you buy another brand of candy/mints instead of Tic Tac Mini Packs? ,Which type of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase?  [other],Did you purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints did you choose to purchase? ,Which brand of candy/mints did you choose to purchase?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase? ,Which brand of candy/mints do you typically purchase?  [other],Would you consider yourself loyal to that brand? ,How likely are you to consider choosing Tic Tac Mini Packs the next time you buy candy/mints? ,What flavor would you most likely purchase? ,Why would you consider choosing other brands before Tic Tac Mini Packs? 
Respondent 897,F,45-54,Yes,1,,1,,,,Today,"Other, please specify...",I bought an individual pack. I didn't realize I needed to buy the mini pack,,,,,,,,No,,,,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 898,F,35-44,Yes,1,,,,1,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 899,F,35-44,Yes,,,,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 900,F,25-34,Yes,,,1,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Peach to Lemonade ,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 901,F,45-54,Yes,1,,1,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Starburst,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 902,F,25-34,Yes,1,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 903,F,45-54,Yes,1,1,1,1,,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Flavors
Respondent 904,F,15-24,Yes,1,,1,1,,,Longer than a month ago,"Other, please specify...",I forgot to look for them in the store,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 905,F,15-24,Yes,1,1,1,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 906,F,35-44,Yes,,,,1,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 907,F,45-54,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 908,M,25-34,Yes,,,,1,,,Yesterday,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 909,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 910,F,45-54,Yes,,,,1,,,Two or three days ago,"Other, please specify...",I didn't make it to the store that the rebate was with. ,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 911,F,35-44,Yes,,1,1,1,,,In the last month,I was unable to find the product in the store,,"Other, please specify...",Walmart...,,,,,,No,,,,Multipack ,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,Tic tac packs are not as practical
Respondent 912,F,45-54,Yes,,,,,,1,Longer than a month ago,"Other, please specify...",I forgot about it,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 913,F,55-64,Yes,,1,,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 914,F,35-44,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,"Other, please specify...",With the other bagged mints,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 915,F,25-34,Yes,1,,1,,,,In the last month,"Other, please specify...",I currently have tic tacs i purchased a while ago ,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I prefer gum
Respondent 916,F,25-34,Yes,,,1,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 917,F,35-44,Yes,1,1,1,1,,,In the last month,"Other, please specify...","I forgot to look for them, and my cell was dead to look at my list.",,,,,,,,No,,,,,,,Multipack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 918,F,65+,Yes,1,,,,,,Today,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,,,,1,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 919,F,35-44,Yes,1,,,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,"Other, please specify...",strawberry fields and peach,,,,Single Pack,"Other, please specify...",organic candies or candy without dye added,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,depending upon what flavor is available for the tic tac mini pack
Respondent 920,M,25-34,Yes,1,1,1,,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 921,F,15-24,Yes,1,,,,,,Rarely or Never,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Life Savers ,,,,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 922,F,35-44,Yes,1,,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 923,F,35-44,Yes,,,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 924,F,25-34,Yes,1,1,,1,,,In the last month,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,,,,1,,"Yes, a different brand of candy/mints ",,,,Multipack ,Breath Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 925,F,45-54,Yes,1,,1,1,,1,In the last month,"Other, please specify...",I didn't get to the store before the offer expired.,,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 926,F,25-34,Yes,,,1,1,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 927,F,15-24,Yes,,,1,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Life Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 928,F,35-44,Yes,,1,,,,,Rarely or Never,"Other, please specify...",Forgot about rebate,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Starburst ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 929,F,35-44,Yes,1,,,,,,Yesterday,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 930,F,45-54,Yes,,,,1,,,Two or three days ago,"Other, please specify...",Flavors I want were not available,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 931,F,35-44,Yes,,,,1,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 932,F,35-44,Yes,,1,,,,,Two or three days ago,"Other, please specify...",I forgot,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 933,F,25-34,Yes,,,,,,1,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I usually only get tic tacs as a treat for my kids
Respondent 934,F,25-34,Yes,1,1,1,1,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 935,F,45-54,Yes,,,,1,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Life Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 936,F,45-54,Yes,,,,1,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 937,F,45-54,Yes,,,1,,,1,In the last month,"Other, please specify...",Forgot about it,,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 938,F,45-54,Yes,,,,1,,,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 939,F,25-34,Yes,1,,,,,,Four to seven days ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 940,F,25-34,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",HADN'T BEEN TO STORE YET,,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 941,F,35-44,Yes,1,,,,,,Today,"Other, please specify...",I purchased these 2 weeks before the rebate came out. I have not yet needed another pack. ,,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 942,F,25-34,Yes,,,1,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 943,F,65+,Yes,1,,,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 944,F,45-54,Yes,1,1,1,1,,1,Four to seven days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 945,F,25-34,Yes,1,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 946,F,15-24,Yes,,,,,,1,Rarely or Never,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 947,F,25-34,Yes,,,,,,1,Longer than a month ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,,,,,No,,,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 948,F,35-44,Yes,,,,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Life Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 949,F,35-44,Yes,,,1,,,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 950,F,25-34,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",I forgot,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 951,F,45-54,Yes,,1,,,,,Rarely or Never,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,,,,1,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 952,F,45-54,Yes,1,,,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 953,F,25-34,Yes,1,1,1,1,1,1,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"Other, please specify...",all of the above,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 954,F,45-54,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 955,F,25-34,Yes,1,1,,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Breath Savers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 956,F,15-24,Yes,1,,,1,,1,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Multipack ,"Other, please specify...","Orange, fruit adventure, and wintergreen",,,,Single Pack,Mentos,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,"Because I have had then before, so I know I like them. I would try them though."
Respondent 957,F,45-54,Yes,1,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 958,F,25-34,Yes,,,,1,,1,Two or three days ago,The individual packaging didn’t appeal to me,,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 959,M,45-54,Yes,,,1,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 960,F,25-34,Yes,1,,1,1,,,Two or three days ago,"Other, please specify...",I didn't get a chance to get it.,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Skittles ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I know the flavors of other brands
Respondent 961,F,25-34,Yes,,1,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 962,F,25-34,Yes,1,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 963,F,45-54,Yes,1,,,,,,Two or three days ago,"Other, please specify...",I did bought them but unfortunately I forgot to submit the receipt .,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 964,M,35-44,Yes,1,1,1,1,1,1,Two or three days ago,The individual packaging didn’t appeal to me,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Skittles ,,,,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,No certain rea son 
Respondent 965,F,45-54,Yes,,,1,1,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"Other, please specify...",Red Hots,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 966,F,65+,Yes,,,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Multipack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 967,F,35-44,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,"Other, please specify...","I looked in both the candy aisle and the checkout lane, saw it in neither place, and didn't have time to ask an associate for help.",,,,,,"Yes, a different type of Tic Tac",Single Pack,Fruit Adventure ,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 968,F,25-34,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,"Other, please specify...",assorted candy mix bag,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 969,F,45-54,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Altoids ,,,,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 970,F,45-54,Yes,1,1,,1,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Life Savers ,,,,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 971,F,35-44,Yes,,,,1,,,Longer than a month ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,,,,,1,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 972,F,45-54,Yes,,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 973,F,15-24,Yes,1,,1,1,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 974,F,35-44,Yes,,,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 975,F,35-44,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I’m not loyal to any brands",It is my first choice ,Tropical Mix,
Respondent 976,M,25-34,Yes,1,1,,,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 977,F,65+,Yes,,,,,1,,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 978,F,35-44,Yes,1,,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 979,F,35-44,Yes,,1,,,,1,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 980,F,25-34,Yes,1,1,1,1,,,In the last month,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,,,1,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 981,M,25-34,Yes,,,1,1,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 982,F,25-34,Yes,1,1,,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 983,F,45-54,Yes,1,,,1,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 984,F,35-44,Yes,,,,1,,,In the last month,"Other, please specify...",Forgot to purchase,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 985,F,35-44,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 986,F,25-34,Yes,1,,,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 987,F,25-34,Yes,,1,,,,,Rarely or Never,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 988,F,45-54,Yes,1,,,,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 989,F,25-34,Yes,1,,,,,1,Longer than a month ago,"Other, please specify...",didn't get around to it yet. may purchase soon.,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 990,F,35-44,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 991,F,25-34,Yes,,,,1,,,In the last month,"Other, please specify...",Haven't been able to go to the store ,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 992,F,65+,Yes,1,,1,1,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Breath Savers,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 993,F,25-34,Yes,1,,,,,1,Today,The individual packaging didn’t appeal to me,,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 994,F,35-44,Yes,,1,,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 995,F,35-44,Yes,,,,,,1,Longer than a month ago,"Other, please specify...","I rarely, if ever, but one container of mints at a time. Why do I need a whole bag?",,,,,,,,No,,,,,,,Single Pack,Skittles,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,I prefer stronger mints
Respondent 996,F,35-44,Yes,,,,,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 997,F,45-54,Yes,,,,1,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 998,M,25-34,Yes,1,1,,,,1,Rarely or Never,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
